"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"2",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"3",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"4",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"5",190207.544532409,190207.544532409,190207.544532409,190207.544532409,0,0,0,417963.759549919,417963.759549919,417963.759549919,202294.125546411,202294.125546411,202294.125546411,118567.83606731,118567.83606731,118567.83606731,118567.83606731,191714.364625088,191714.364625088,317346.179648263,317346.179648263,317346.179648263,239329.015966053,239329.015966053,239329.015966053,343011.34634861,341176.012361217,361401.976495888
"6",190207.544532409,190207.544532409,190207.544532409,190207.544532409,0,0,0,417963.759549919,417963.759549919,417963.759549919,202294.125546411,202294.125546411,202294.125546411,118567.83606731,118567.83606731,118567.83606731,118567.83606731,191714.364625088,191714.364625088,317346.179648263,317346.179648263,317346.179648263,239329.015966053,239329.015966053,239329.015966053,343011.34634861,341176.012361217,361401.976495888
"7",190207.544532409,190207.544532409,190207.544532409,190207.544532409,0,0,0,417963.759549919,417963.759549919,417963.759549919,202294.125546411,202294.125546411,202294.125546411,118567.83606731,118567.83606731,118567.83606731,118567.83606731,191714.364625088,191714.364625088,317346.179648263,317346.179648263,317346.179648263,239329.015966053,239329.015966053,239329.015966053,343011.34634861,341176.012361217,361401.976495888
"8",551345.592929065,551345.592929065,551345.592929065,551345.592929065,417963.759549919,417963.759549919,417963.759549919,0,0,0,250306.939091118,250306.939091118,250306.939091118,526427.477976603,526427.477976603,526427.477976603,526427.477976603,552583.588000996,552583.588000996,102422.814469061,102422.814469061,102422.814469061,190025.498586614,190025.498586614,190025.498586614,340430.576047373,330042.335891985,79558.9207853811
"9",551345.592929065,551345.592929065,551345.592929065,551345.592929065,417963.759549919,417963.759549919,417963.759549919,0,0,0,250306.939091118,250306.939091118,250306.939091118,526427.477976603,526427.477976603,526427.477976603,526427.477976603,552583.588000996,552583.588000996,102422.814469061,102422.814469061,102422.814469061,190025.498586614,190025.498586614,190025.498586614,340430.576047373,330042.335891985,79558.9207853811
"10",551345.592929065,551345.592929065,551345.592929065,551345.592929065,417963.759549919,417963.759549919,417963.759549919,0,0,0,250306.939091118,250306.939091118,250306.939091118,526427.477976603,526427.477976603,526427.477976603,526427.477976603,552583.588000996,552583.588000996,102422.814469061,102422.814469061,102422.814469061,190025.498586614,190025.498586614,190025.498586614,340430.576047373,330042.335891985,79558.9207853811
"11",302102.614334099,302102.614334099,302102.614334099,302102.614334099,202294.125546411,202294.125546411,202294.125546411,250306.939091118,250306.939091118,250306.939091118,0,0,0,290527.98494047,290527.98494047,290527.98494047,290527.98494047,303290.593212544,303290.593212544,150918.570347312,150918.570347312,150918.570347312,144474.262111336,144474.262111336,144474.262111336,186279.17238172,179718.157380048,222707.922714503
"12",302102.614334099,302102.614334099,302102.614334099,302102.614334099,202294.125546411,202294.125546411,202294.125546411,250306.939091118,250306.939091118,250306.939091118,0,0,0,290527.98494047,290527.98494047,290527.98494047,290527.98494047,303290.593212544,303290.593212544,150918.570347312,150918.570347312,150918.570347312,144474.262111336,144474.262111336,144474.262111336,186279.17238172,179718.157380048,222707.922714503
"13",302102.614334099,302102.614334099,302102.614334099,302102.614334099,202294.125546411,202294.125546411,202294.125546411,250306.939091118,250306.939091118,250306.939091118,0,0,0,290527.98494047,290527.98494047,290527.98494047,290527.98494047,303290.593212544,303290.593212544,150918.570347312,150918.570347312,150918.570347312,144474.262111336,144474.262111336,144474.262111336,186279.17238172,179718.157380048,222707.922714503
"14",100638.913682098,100638.913682098,100638.913682098,100638.913682098,118567.83606731,118567.83606731,118567.83606731,526427.477976603,526427.477976603,526427.477976603,290527.98494047,290527.98494047,290527.98494047,0,0,0,0,101869.107088246,101869.107088246,424243.601293161,424243.601293161,424243.601293161,355129.81791233,355129.81791233,355129.81791233,383768.369021855,385112.497193948,475254.755310615
"15",100638.913682098,100638.913682098,100638.913682098,100638.913682098,118567.83606731,118567.83606731,118567.83606731,526427.477976603,526427.477976603,526427.477976603,290527.98494047,290527.98494047,290527.98494047,0,0,0,0,101869.107088246,101869.107088246,424243.601293161,424243.601293161,424243.601293161,355129.81791233,355129.81791233,355129.81791233,383768.369021855,385112.497193948,475254.755310615
"16",100638.913682098,100638.913682098,100638.913682098,100638.913682098,118567.83606731,118567.83606731,118567.83606731,526427.477976603,526427.477976603,526427.477976603,290527.98494047,290527.98494047,290527.98494047,0,0,0,0,101869.107088246,101869.107088246,424243.601293161,424243.601293161,424243.601293161,355129.81791233,355129.81791233,355129.81791233,383768.369021855,385112.497193948,475254.755310615
"17",100638.913682098,100638.913682098,100638.913682098,100638.913682098,118567.83606731,118567.83606731,118567.83606731,526427.477976603,526427.477976603,526427.477976603,290527.98494047,290527.98494047,290527.98494047,0,0,0,0,101869.107088246,101869.107088246,424243.601293161,424243.601293161,424243.601293161,355129.81791233,355129.81791233,355129.81791233,383768.369021855,385112.497193948,475254.755310615
"18",1508.89580072898,1508.89580072898,1508.89580072898,1508.89580072898,191714.364625088,191714.364625088,191714.364625088,552583.588000996,552583.588000996,552583.588000996,303290.593212544,303290.593212544,303290.593212544,101869.107088246,101869.107088246,101869.107088246,101869.107088246,0,0,451089.003755116,451089.003755116,451089.003755116,402296.312266349,402296.312266349,402296.312266349,343177.877134246,347119.524916895,513669.502934977
"19",1508.89580072898,1508.89580072898,1508.89580072898,1508.89580072898,191714.364625088,191714.364625088,191714.364625088,552583.588000996,552583.588000996,552583.588000996,303290.593212544,303290.593212544,303290.593212544,101869.107088246,101869.107088246,101869.107088246,101869.107088246,0,0,451089.003755116,451089.003755116,451089.003755116,402296.312266349,402296.312266349,402296.312266349,343177.877134246,347119.524916895,513669.502934977
"20",449827.800915329,449827.800915329,449827.800915329,449827.800915329,317346.179648263,317346.179648263,317346.179648263,102422.814469061,102422.814469061,102422.814469061,150918.570347312,150918.570347312,150918.570347312,424243.601293161,424243.601293161,424243.601293161,424243.601293161,451089.003755116,451089.003755116,0,0,0,105397.980255222,105397.980255222,105397.980255222,274901.325980221,265041.799714762,79770.0123794908
"21",449827.800915329,449827.800915329,449827.800915329,449827.800915329,317346.179648263,317346.179648263,317346.179648263,102422.814469061,102422.814469061,102422.814469061,150918.570347312,150918.570347312,150918.570347312,424243.601293161,424243.601293161,424243.601293161,424243.601293161,451089.003755116,451089.003755116,0,0,0,105397.980255222,105397.980255222,105397.980255222,274901.325980221,265041.799714762,79770.0123794908
"22",449827.800915329,449827.800915329,449827.800915329,449827.800915329,317346.179648263,317346.179648263,317346.179648263,102422.814469061,102422.814469061,102422.814469061,150918.570347312,150918.570347312,150918.570347312,424243.601293161,424243.601293161,424243.601293161,424243.601293161,451089.003755116,451089.003755116,0,0,0,105397.980255222,105397.980255222,105397.980255222,274901.325980221,265041.799714762,79770.0123794908
"23",400884.651949818,400884.651949818,400884.651949818,400884.651949818,239329.015966053,239329.015966053,239329.015966053,190025.498586614,190025.498586614,190025.498586614,144474.262111336,144474.262111336,144474.262111336,355129.81791233,355129.81791233,355129.81791233,355129.81791233,402296.312266349,402296.312266349,105397.980255222,105397.980255222,105397.980255222,0,0,0,320042.514377499,311773.634775987,123389.820584117
"24",400884.651949818,400884.651949818,400884.651949818,400884.651949818,239329.015966053,239329.015966053,239329.015966053,190025.498586614,190025.498586614,190025.498586614,144474.262111336,144474.262111336,144474.262111336,355129.81791233,355129.81791233,355129.81791233,355129.81791233,402296.312266349,402296.312266349,105397.980255222,105397.980255222,105397.980255222,0,0,0,320042.514377499,311773.634775987,123389.820584117
"25",400884.651949818,400884.651949818,400884.651949818,400884.651949818,239329.015966053,239329.015966053,239329.015966053,190025.498586614,190025.498586614,190025.498586614,144474.262111336,144474.262111336,144474.262111336,355129.81791233,355129.81791233,355129.81791233,355129.81791233,402296.312266349,402296.312266349,105397.980255222,105397.980255222,105397.980255222,0,0,0,320042.514377499,311773.634775987,123389.820584117
"26",342683.353053651,342683.353053651,342683.353053651,342683.353053651,343011.34634861,343011.34634861,343011.34634861,340430.576047373,340430.576047373,340430.576047373,186279.17238172,186279.17238172,186279.17238172,383768.369021855,383768.369021855,383768.369021855,383768.369021855,343177.877134246,343177.877134246,274901.325980221,274901.325980221,274901.325980221,320042.514377499,320042.514377499,320042.514377499,0,10408.9394034964,354054.147354522
"27",346585.324896003,346585.324896003,346585.324896003,346585.324896003,341176.012361217,341176.012361217,341176.012361217,330042.335891985,330042.335891985,330042.335891985,179718.157380048,179718.157380048,179718.157380048,385112.497193948,385112.497193948,385112.497193948,385112.497193948,347119.524916895,347119.524916895,265041.799714762,265041.799714762,265041.799714762,311773.634775987,311773.634775987,311773.634775987,10408.9394034964,0,344088.045117548
"28",512329.713343449,512329.713343449,512329.713343449,512329.713343449,361401.976495888,361401.976495888,361401.976495888,79558.9207853811,79558.9207853811,79558.9207853811,222707.922714503,222707.922714503,222707.922714503,475254.755310615,475254.755310615,475254.755310615,475254.755310615,513669.502934977,513669.502934977,79770.0123794908,79770.0123794908,79770.0123794908,123389.820584117,123389.820584117,123389.820584117,354054.147354522,344088.045117548,0
